storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,enforce,0.0,1,0,0,39,lease_5f5438e4bbad46f0a18796c99960d3f0,14322800,11188900,200,1200,25513100
storage-0,enforce,0.0,1,0,0,40,lease_5f5438e4bbad46f0a18796c99960d3f0,14087400,10731600,200,1200,24820400
storage-0,enforce,0.0,1,0,0,41,lease_5f5438e4bbad46f0a18796c99960d3f0,14053700,10143800,500,1400,24199400
storage-0,enforce,0.0,1,0,0,42,lease_5f5438e4bbad46f0a18796c99960d3f0,15247800,9962000,200,1200,25211200
storage-0,enforce,0.0,1,0,0,43,lease_5f5438e4bbad46f0a18796c99960d3f0,14234100,11098200,200,1100,25333600
storage-0,enforce,0.0,1,0,0,44,lease_5f5438e4bbad46f0a18796c99960d3f0,14682900,10429800,200,1200,25114100
storage-0,enforce,0.0,1,0,0,45,lease_5f5438e4bbad46f0a18796c99960d3f0,15309800,10809600,800,1900,26122100
storage-0,enforce,0.0,1,0,0,46,lease_5f5438e4bbad46f0a18796c99960d3f0,14412500,10715500,200,1300,25129500
storage-0,enforce,0.0,1,0,0,47,lease_5f5438e4bbad46f0a18796c99960d3f0,14800500,10837800,400,1500,25640200
storage-0,enforce,0.0,1,0,0,48,lease_5f5438e4bbad46f0a18796c99960d3f0,15325200,10774500,500,1500,26101700
storage-0,enforce,0.0,1,0,0,49,lease_5f5438e4bbad46f0a18796c99960d3f0,14618300,10215600,200,1300,24835400
storage-0,enforce,0.0,1,1,0,0,lease_22693da5746b4f9b882875915b86a4f0,13544400,10598200,400,1400,24144400
storage-0,enforce,0.0,1,1,0,1,lease_22693da5746b4f9b882875915b86a4f0,13962300,10776000,200,1100,24739600
storage-0,enforce,0.0,1,1,0,2,lease_22693da5746b4f9b882875915b86a4f0,14264100,10079600,200,1200,24345100
storage-0,enforce,0.0,1,1,0,3,lease_22693da5746b4f9b882875915b86a4f0,14559100,9772800,500,1100,24333500
storage-0,enforce,0.0,1,1,0,4,lease_22693da5746b4f9b882875915b86a4f0,13821300,10881300,200,1300,24704100
storage-0,enforce,0.0,1,1,0,5,lease_22693da5746b4f9b882875915b86a4f0,15117000,10030800,400,1300,25149500
storage-0,enforce,0.0,1,1,0,6,lease_22693da5746b4f9b882875915b86a4f0,14545000,10528800,400,1300,25075500
